3,2,19,17,25
29,20,13,25,23
17,5,43,7,1
11,30,29,13,16
0,46,47,3,9
7,25,36,38,17
10,3,32,25,29
44,12,48,7,37
21,11,15,12,13
7,19,23,40,44
17,17,29,10,32
21,23,33,3,19
7,15,25,23,1
19,14,4,25,20
4,22,17,19,13
7,14,39,30,5
2,28,12,45,25
12,9,24,36,31
43,37,49,22,25
45,1,47,8,21
21,13,47,20,18
17,11,43,16,8
23,29,1,25,5
28,2,3,0,47
47,30,13,3,17
3,13,16,34,30
39,5,3,7,15
18,41,24,43,17
12,15,1,3,8
45,21,35,8,9
3,7,49,30,11
7,10,42,17,4
9,45,47,49,15
4,23,29,8,27
34,18,49,13,29
19,9,11,0,7
15,1,41,30,39
2,13,43,24,49
3,11,44,17,1
19,21,19,25,49
6,49,3,18,25
15,30,4,34,32
47,23,24,13,17
25,11,13,1,24
47,1,23,31,4
5,15,29,17,14
13,7,47,5,4
5,2,1,15,25
37,9,43,11,4
38,21,3,29,8
4,5,4,1,12
20,15,15,14,13
4,32,17,18,49
0,2,17,12,15
7,11,42,3,49
42,13,41,25,3
3,9,49,15,11
26,18,32,21,43
3,27,42,25,8
35,1,19,47,23
17,13,1,15,17
17,28,32,8,49
17,4,13,1,20
2,17,32,3,19
17,24,23,29,11
17,27,47,18,45
1,5,37,11,30
3,4,2,5,15
3,30,49,0,1
8,20,15,18,23
4,1,8,25,23
4,17,41,11,8
27,6,32,29,47
25,35,3,31,12
26,25,15,8,1
42,15,47,3,25
2,24,24,3,18
42,13,13,19,25
10,17,3,44,29
5,15,43,6,11
5,1,17,3,1
44,5,24,7,6
17,11,15,18,11
15,11,25,23,4
49,17,30,19,11
49,25,29,14,30
32,16,17,7,5
3,45,13,39,6
16,29,49,2,16
23,5,39,17,32
13,1,19,32,8
6,2,19,13,17
19,16,15,17,3
13,35,39,3,1
20,16,47,25,31
15,5,49,9,31
8,1,19,27,23
21,15,49,45,13
7,26,11,49,30
19,6,25,41,25
32,34,49,13,15
1,18,35,1,17
3,16,37,20,8
16,0,43,1,1
5,25,29,7,8
43,31,9,25,10
37,2,47,25,15
45,15,3,12,3
37,30,16,3,49
20,34,47,44,36
29,30,3,20,31
30,23,3,7,2
37,0,3,25,30
13,19,49,19,17
24,15,12,25,7
6,5,49,1,11
3,2,22,7,3
25,49,13,3,43
1,21,25,1,20
25,23,43,24,5
20,7,49,0,29
3,18,32,3,14
8,7,9,3,0
15,30,49,25,47
49,17,26,36,41
8,6,13,0,10
15,21,30,13,19
32,6,19,29,4
23,30,41,41,5
14,6,29,5,49
19,15,37,3,19
19,21,43,41,34
41,25,49,24,23
2,43,33,6,2
23,16,37,3,8
17,17,4,1,41
19,13,20,2,6
6,7,49,16,11
27,17,49,29,15
31,16,19,8,2
49,17,32,0,31
25,17,49,9,47
3,13,8,7,25
49,20,41,14,1
44,6,46,3,13
4,11,49,14,32
21,5,25,49,1
7,4,17,5,8
27,11,41,25,9
4,13,47,15,25
25,38,47,15,20
8,30,32,17,15
15,7,43,14,8
5,30,19,3,18
49,18,1,17,7
5,49,31,17,3
13,11,31,6,30
8,5,36,15,21
8,8,43,6,23
24,0,49,19,41
1,23,25,32,11
19,17,3,1,18
11,25,49,13,5
32,41,13,25,29
39,23,3,11,19
43,5,49,11,8
9,3,49,17,7
15,25,39,30,47
4,17,10,7,29
49,15,3,3,25
29,9,24,1,19
15,1,12,16,13
11,13,49,29,16
7,11,43,1,49
13,24,47,17,1
25,25,3,15,24
24,26,49,1,3
6,17,23,20,1
25,5,25,1,2
19,2,49,25,15
12,29,44,37,19
3,19,49,15,9
8,17,49,17,4
5,25,3,11,7
21,5,15,3,32
30,11,27,10,18
24,18,32,11,24
7,6,25,19,47
0,4,30,8,19
38,3,49,5,15
21,13,42,3,6
1,35,46,30,23
13,18,6,6,13
0,3,18,30,2
24,15,49,31,3
15,5,43,11,42
7,1,25,15,11
6,17,42,5,49
11,30,49,9,25
9,15,19,0,15
